w,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
,,,,,,,,,,,,,
1,05-Jun,LaLiga,21,1/29/06,A,FC†Barcelona,RCD†Mallorca,Loss,CF,75,00:02:00,Right-footed†shot,Sylvinho
2,05-Jun,LaLiga,21,1/29/06,A,FC†Barcelona,RCD†Mallorca,Loss,CF,83,00:03:00,Left-footed†shot,Ronaldinho†Gaacho
3,06-Jul,LaLiga,1,8/28/06,A,FC†Barcelona,Celta†de†Vigo,Loss,LW,59,01:02:00,Left-footed†shot,Andres†Iniesta
4,06-Jul,UEFA†Champions†League,Group†Stage,9/27/06,A,FC†Barcelona,SV†Werder†Bremen,Loss,RW,89,01:01:00,Left-footed†shot,Deco
5,06-Jul,LaLiga,27,3/17/07,A,FC†Barcelona,Recreativo†Huelva,Loss,RW,86,00:04:00,Left-footed†shot,NA
6,06-Jul,LaLiga,35,5/20/07,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,39,00:01:00,Left-footed†shot,Samuel†Etoo
7,06-Jul,LaLiga,35,5/20/07,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,80,00:05:00,Left-footed†shot,Giovanni†van†Bronckhorst
8,06-Jul,LaLiga,38,6/17/07,A,FC†Barcelona,Gimnastic†de†Tarragona,Loss,RW,34,00:02:00,Left-footed†shot,Deco
9,06-Jul,LaLiga,38,6/17/07,A,FC†Barcelona,Gimnastic†de†Tarragona,Loss,RW,51,00:04:00,Left-footed†shot,Deco
10,07-Aug,LaLiga,6,9/29/07,A,FC†Barcelona,Levante†UD,Loss,RW,50,00:04:00,Left-footed†shot,Deco
11,07-Aug,UEFA†Champions†League,Group†Stage,10-02-2007,A,FC†Barcelona,VfB†Stuttgart,Loss,RW,66,00:02:00,Deflected†shot†on†goal,Thierry†Henry
12,07-Aug,UEFA†Champions†League,Group†Stage,11/27/07,A,FC†Barcelona,Olympique†Lyon,Loss,RW,58,01:02:00,Penalty,NA
13,07-Aug,UEFA†Champions†League,last†16,2/20/08,A,FC†Barcelona,Celtic†FC,Loss,RW,18,01:01:00,Left-footed†shot,Deco
14,07-Aug,UEFA†Champions†League,last†16,2/20/08,A,FC†Barcelona,Celtic†FC,Loss,RW,79,02:03:00,Left-footed†shot,NA
15,08-Sep,LaLiga,3,9/21/08,A,FC†Barcelona,Sporting†Gij√≥n,Loss,RW,85,01:05:00,Left-footed†shot,Andres†Iniesta
16,08-Sep,LaLiga,3,9/21/08,A,FC†Barcelona,Sporting†Gij√≥n,Loss,RW,89,01:06:00,Header,Xavi
17,08-Sep,LaLiga,5,9/27/08,A,FC†Barcelona,RCD†Espanyol†Barcelona,Loss,RW,90,01:02:00,Penalty,NA
18,08-Sep,UEFA†Champions†League,Group†Stage,10-01-2008,A,FC†Barcelona,Shakhtar†Donetsk,Loss,RW,87,01:01:00,Right-footed†shot,Bojan†Krkic
19,08-Sep,UEFA†Champions†League,Group†Stage,10-01-2008,A,FC†Barcelona,Shakhtar†Donetsk,Loss,RW,90+2,01:02:00,Left-footed†shot,Xavi
20,08-Sep,UEFA†Champions†League,Group†Stage,10/22/08,A,FC†Barcelona,FC†Basel†1893,Loss,CF,4,00:01:00,Left-footed†shot,Dani†Alves
21,08-Sep,LaLiga,9,11-01-2008,A,FC†Barcelona,Malaga†CF,Loss,RW,19,01:02:00,Left-footed†shot,NA
22,08-Sep,LaLiga,11,11/16/08,A,FC†Barcelona,Recreativo†Huelva,Loss,RW,51,00:01:00,Left-footed†shot,Xavi
23,08-Sep,UEFA†Champions†League,Group†Stage,11/26/08,A,FC†Barcelona,Sporting†CP,Loss,RW,49,00:03:00,Left-footed†shot,Dani†Alves
24,08-Sep,LaLiga,13,11/29/08,A,FC†Barcelona,Sevilla†FC,Loss,RW,78,00:02:00,Left-footed†shot,Xavi
25,08-Sep,LaLiga,13,11/29/08,A,FC†Barcelona,Sevilla†FC,Loss,RW,90+2,00:03:00,Left-footed†shot,Aleksandr†Hleb
26,08-Sep,Copa†del†Rey,Round†of†16,01-06-2009,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,11,00:01:00,Left-footed†shot,Dani†Alves
27,08-Sep,Copa†del†Rey,Round†of†16,01-06-2009,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,57,00:02:00,Penalty,NA
28,08-Sep,Copa†del†Rey,Round†of†16,01-06-2009,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,79,01:03:00,Right-footed†shot,Andres†Iniesta
29,08-Sep,LaLiga,18,01-11-2009,A,FC†Barcelona,CA†Osasuna,Loss,RW,84,02:03:00,Left-footed†shot,Dani†Alves
30,08-Sep,LaLiga,21,02-01-2009,A,FC†Barcelona,Racing†Santander,Loss,RW,65,01:01:00,Right-footed†shot,Xavi
31,08-Sep,LaLiga,21,02-01-2009,A,FC†Barcelona,Racing†Santander,Loss,RW,81,01:02:00,Right-footed†shot,NA
32,08-Sep,LaLiga,25,03-01-2009,A,FC†Barcelona,Atletico†de†Madrid,Loss,RW,30,00:02:00,Left-footed†shot,NA
33,08-Sep,Copa†del†Rey,Semi-Finals,03-04-2009,A,FC†Barcelona,RCD†Mallorca,Loss,RW,81,01:01:00,Left-footed†shot,Gerard†Pique
34,08-Sep,LaLiga,31,4/18/09,A,FC†Barcelona,Getafe†CF,Loss,RW,18,00:01:00,Left-footed†shot,Xavi
35,08-Sep,LaLiga,33,4/25/09,A,FC†Barcelona,Valencia†CF,Loss,RW,23,00:01:00,Left-footed†shot,Andres†Iniesta
36,08-Sep,LaLiga,34,05-02-2009,A,FC†Barcelona,Real†Madrid,Loss,CF,35,01:03:00,Left-footed†shot,Xavi
37,08-Sep,LaLiga,34,05-02-2009,A,FC†Barcelona,Real†Madrid,Loss,CF,75,02:05:00,Left-footed†shot,Xavi
38,09-Oct,LaLiga,2,09-12-2009,A,FC†Barcelona,Getafe†CF,Loss,RW,78,00:02:00,Header,Zlatan†Ibrahimovic
39,09-Oct,LaLiga,4,9/22/09,A,FC†Barcelona,Racing†Santander,Loss,RW,23,00:02:00,Left-footed†shot,Xavi
40,09-Oct,LaLiga,4,9/22/09,A,FC†Barcelona,Racing†Santander,Loss,RW,63,00:04:00,Left-footed†shot,Xavi
41,09-Oct,LaLiga,13,12-05-2009,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,RW,26,00:01:00,Left-footed†shot,Dani†Alves
42,09-Oct,LaLiga,13,12-05-2009,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,RW,80,01:02:00,Header,Pedro
43,09-Oct,UEFA†Champions†League,Group†Stage,12-09-2009,A,FC†Barcelona,Dynamo†Kyiv,Loss,RW,86,01:02:00,Direct†free†kick,NA
44,09-Oct,FIFA†Club†World†Cup,Semi-Finals,12/16/09,A,FC†Barcelona,CF†Atlante,Loss,RW,55,01:02:00,Left-footed†shot,Zlatan†Ibrahimovic
45,09-Oct,FIFA†Club†World†Cup,Final,12/19/09,A,FC†Barcelona,Club†Estudiantes†de†La†Plata,Loss,RW,110,01:02:00,Chest,Dani†Alves
46,09-Oct,LaLiga,17,01-10-2010,A,FC†Barcelona,CD†Tenerife,Loss,RW,36,00:01:00,Left-footed†shot,Bojan†Krkic
47,09-Oct,LaLiga,17,01-10-2010,A,FC†Barcelona,CD†Tenerife,Loss,RW,45,00:03:00,Right-footed†shot,Bojan†Krkic
48,09-Oct,LaLiga,17,01-10-2010,A,FC†Barcelona,CD†Tenerife,Loss,RW,75,00:04:00,Left-footed†shot,Bojan†Krkic
49,09-Oct,LaLiga,19,1/23/10,A,FC†Barcelona,Real†Valladolid†CF,Loss,RW,54,00:03:00,Left-footed†shot,Zlatan†Ibrahimovic
50,09-Oct,LaLiga,25,03-06-2010,A,FC†Barcelona,UD†Almera,Loss,RW,42,01:01:00,Direct†free†kick,NA
51,09-Oct,LaLiga,25,03-06-2010,A,FC†Barcelona,UD†Almera,Loss,RW,66,02:02:00,Left-footed†shot,NA
52,09-Oct,LaLiga,27,3/21/10,A,FC†Barcelona,Real†Zaragoza,Loss,RW,4,00:01:00,Header,Pedro
53,09-Oct,LaLiga,27,3/21/10,A,FC†Barcelona,Real†Zaragoza,Loss,RW,65,00:02:00,Left-footed†shot,NA
54,09-Oct,LaLiga,27,3/21/10,A,FC†Barcelona,Real†Zaragoza,Loss,RW,78,00:03:00,Left-footed†shot,Andres†Iniesta
55,09-Oct,LaLiga,31,04-10-2010,A,FC†Barcelona,Real†Madrid,Loss,CF,32,00:01:00,Right-footed†shot,Xavi
56,09-Oct,LaLiga,35,05-01-2010,A,FC†Barcelona,Villarreal†CF,Loss,RW,18,00:01:00,Left-footed†shot,Xavi
57,09-Oct,LaLiga,35,05-01-2010,A,FC†Barcelona,Villarreal†CF,Loss,RW,87,01:04:00,Left-footed†shot,Dani†Alves
58,09-Oct,LaLiga,37,05-08-2010,A,FC†Barcelona,Sevilla†FC,Loss,RW,5,00:01:00,Left-footed†shot,Maxwell
59,10-Nov,LaLiga,1,8/29/10,A,FC†Barcelona,Racing†Santander,Loss,RW,3,00:01:00,Left-footed†shot,Andres†Iniesta
60,10-Nov,LaLiga,3,9/19/10,A,FC†Barcelona,Atletico†de†Madrid,Loss,CF,12,00:01:00,Left-footed†shot,Pedro
61,10-Nov,LaLiga,8,10/23/10,A,FC†Barcelona,Real†Zaragoza,Loss,CF,41,00:01:00,Left-footed†shot,David†Villa
62,10-Nov,LaLiga,8,10/23/10,A,FC†Barcelona,Real†Zaragoza,Loss,CF,65,00:02:00,Left-footed†shot,NA
63,10-Nov,UEFA†Champions†League,Group†Stage,11-02-2010,A,FC†Barcelona,FC†Copenhagen,Loss,CF,31,00:01:00,Right-footed†shot,NA
64,10-Nov,LaLiga,10,11-07-2010,A,FC†Barcelona,Getafe†CF,Loss,CF,23,00:01:00,Left-footed†shot,David†Villa
65,10-Nov,LaLiga,12,11/20/10,A,FC†Barcelona,UD†Almera,Loss,CF,16,00:01:00,Left-footed†shot,David†Villa
66,10-Nov,LaLiga,12,11/20/10,A,FC†Barcelona,UD†Almera,Loss,CF,36,00:05:00,Tap-in,NA
67,10-Nov,LaLiga,12,11/20/10,A,FC†Barcelona,UD†Almera,Loss,CF,67,00:07:00,Tap-in,David†Villa
68,10-Nov,UEFA†Champions†League,Group†Stage,11/24/10,A,FC†Barcelona,Panathinaikos†Athens,Loss,CF,63,00:02:00,Left-footed†shot,Adriano
69,10-Nov,LaLiga,14,12-04-2010,A,FC†Barcelona,CA†Osasuna,Loss,CF,64,00:02:00,Left-footed†shot,David†Villa
70,10-Nov,LaLiga,14,12-04-2010,A,FC†Barcelona,CA†Osasuna,Loss,CF,82,00:03:00,Penalty,NA
71,10-Nov,LaLiga,18,01-08-2011,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,CF,51,00:02:00,Direct†free†kick,NA
72,10-Nov,Copa†del†Rey,Quarter-Finals,1/19/11,A,FC†Barcelona,Real†Betis†Balompie,Loss,RW,37,02:01:00,Left-footed†shot,Xavi
73,10-Nov,LaLiga,21,1/29/11,A,FC†Barcelona,Hercules†CF,Loss,CF,87,00:02:00,Left-footed†shot,Dani†Alves
74,10-Nov,LaLiga,21,1/29/11,A,FC†Barcelona,Hercules†CF,Loss,CF,89,00:03:00,Left-footed†shot,Dani†Alves
75,10-Nov,LaLiga,25,2/26/11,A,FC†Barcelona,RCD†Mallorca,Loss,CF,38,00:01:00,Header,Seydou†Keita
76,10-Nov,LaLiga,26,03-02-2011,A,FC†Barcelona,Valencia†CF,Loss,CF,77,00:01:00,Left-footed†shot,Adriano
77,10-Nov,UEFA†Champions†League,Quarter-Finals,04-12-2011,A,FC†Barcelona,Shakhtar†Donetsk,Loss,CF,42,00:01:00,Left-footed†shot,Dani†Alves
78,10-Nov,LaLiga,32,4/16/11,A,FC†Barcelona,Real†Madrid,Loss,CF,53,00:01:00,Penalty,NA
79,10-Nov,UEFA†Champions†League,Semi-Finals,4/27/11,A,FC†Barcelona,Real†Madrid,Loss,CF,76,00:01:00,Left-footed†shot,Ibrahim†Afellay
80,10-Nov,UEFA†Champions†League,Semi-Finals,4/27/11,A,FC†Barcelona,Real†Madrid,Loss,CF,87,00:02:00,Solo†run,Sergio†Busquets
81,11-Dec,Supercopa,final,8/14/11,A,FC†Barcelona,Real†Madrid,Loss,CF,45,01:02:00,Left-footed†shot,Thiago
82,11-Dec,UEFA†Champions†League,Group†Stage,9/28/11,A,FC†Barcelona,BATE†Borisov,Loss,CF,38,00:03:00,Header,NA
83,11-Dec,UEFA†Champions†League,Group†Stage,9/28/11,A,FC†Barcelona,BATE†Borisov,Loss,CF,56,00:04:00,Left-footed†shot,Dani†Alves
84,11-Dec,UEFA†Champions†League,Group†Stage,11-01-2011,A,FC†Barcelona,FC†Viktoria†Plzen,Loss,CF,24,00:01:00,Penalty,NA
85,11-Dec,UEFA†Champions†League,Group†Stage,11-01-2011,A,FC†Barcelona,FC†Viktoria†Plzen,Loss,CF,45+2,00:02:00,Left-footed†shot,Adriano
86,11-Dec,UEFA†Champions†League,Group†Stage,11-01-2011,A,FC†Barcelona,FC†Viktoria†Plzen,Loss,CF,90+2,00:04:00,Left-footed†shot,Gerard†Pique
87,11-Dec,LaLiga,12,11-06-2011,A,FC†Barcelona,Athletic†Bilbao,Loss,CF,90,02:02:00,Left-footed†shot,NA
88,11-Dec,UEFA†Champions†League,Group†Stage,11/23/11,A,FC†Barcelona,AC†Milan,Loss,SS,31,01:02:00,Penalty,NA
89,11-Dec,FIFA†Club†World†Cup,Final,12/18/11,A,FC†Barcelona,Santos†FC,Loss,RW,17,00:01:00,Left-footed†shot,Xavi
90,11-Dec,FIFA†Club†World†Cup,Final,12/18/11,A,FC†Barcelona,Santos†FC,Loss,RW,82,00:04:00,Left-footed†shot,Dani†Alves
91,11-Dec,LaLiga,1,1/22/12,A,FC†Barcelona,Malaga†CF,Loss,CF,32,00:01:00,Header,Adriano
92,11-Dec,LaLiga,1,1/22/12,A,FC†Barcelona,Malaga†CF,Loss,CF,51,00:03:00,Left-footed†shot,Thiago
93,11-Dec,LaLiga,1,1/22/12,A,FC†Barcelona,Malaga†CF,Loss,CF,77,00:04:00,Left-footed†shot,Pedro
94,11-Dec,UEFA†Champions†League,last†16,2/14/12,A,FC†Barcelona,Bayer†04†Leverkusen,Loss,CF,88,01:03:00,Left-footed†shot,Dani†Alves
95,11-Dec,LaLiga,25,2/26/12,A,FC†Barcelona,Atletico†de†Madrid,Loss,CF,79,01:02:00,Direct†free†kick,NA
96,11-Dec,LaLiga,27,03-11-2012,A,FC†Barcelona,Racing†Santander,Loss,CF,28,00:01:00,Left-footed†shot,Cesc†Fabregas
97,11-Dec,LaLiga,27,03-11-2012,A,FC†Barcelona,Racing†Santander,Loss,CF,55,00:02:00,Penalty,NA
98,11-Dec,LaLiga,28,3/17/12,A,FC†Barcelona,Sevilla†FC,Loss,CF,25,00:02:00,Left-footed†shot,Andres†Iniesta
99,11-Dec,LaLiga,30,3/24/12,A,FC†Barcelona,RCD†Mallorca,Loss,CF,25,00:01:00,Direct†free†kick,NA
100,11-Dec,LaLiga,32,04-07-2012,A,FC†Barcelona,Real†Zaragoza,Loss,CF,39,01:02:00,Left-footed†shot,Alexis†Sanchez
101,11-Dec,LaLiga,32,04-07-2012,A,FC†Barcelona,Real†Zaragoza,Loss,CF,86,01:03:00,Penalty,NA
102,11-Dec,LaLiga,34,4/14/12,A,FC†Barcelona,Levante†UD,Loss,CF,64,01:01:00,Left-footed†shot,Alexis†Sanchez
103,11-Dec,LaLiga,34,4/14/12,A,FC†Barcelona,Levante†UD,Loss,CF,73,01:02:00,Penalty,NA
104,11-Dec,LaLiga,36,4/29/12,A,FC†Barcelona,Rayo†Vallecano,Loss,CF,16,00:01:00,Left-footed†shot,Pedro
105,11-Dec,LaLiga,36,4/29/12,A,FC†Barcelona,Rayo†Vallecano,Loss,CF,88,00:07:00,Left-footed†shot,Pedro
106,Dec-13,LaLiga,2,8/26/12,A,FC†Barcelona,CA†Osasuna,Loss,CF,74,01:01:00,Left-footed†shot,Alexis†Sanchez
107,Dec-13,LaLiga,2,8/26/12,A,FC†Barcelona,CA†Osasuna,Loss,CF,79,01:02:00,Left-footed†shot,Jordi†Alba
108,Dec-13,Supercopa,final,8/29/12,A,FC†Barcelona,Real†Madrid,Loss,CF,45,02:01:00,Direct†free†kick,NA
109,Dec-13,LaLiga,4,9/15/12,A,FC†Barcelona,Getafe†CF,Loss,CF,74,00:02:00,Penalty,NA
110,Dec-13,LaLiga,4,9/15/12,A,FC†Barcelona,Getafe†CF,Loss,CF,78,00:03:00,Left-footed†shot,Pedro
111,Dec-13,LaLiga,8,10/20/12,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,CF,17,00:03:00,Left-footed†shot,Cesc†Fabregas
112,Dec-13,LaLiga,8,10/20/12,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,CF,43,02:04:00,Left-footed†shot,Cesc†Fabregas
113,Dec-13,LaLiga,8,10/20/12,A,FC†Barcelona,Deportivo†de†La†Coruaa,Loss,CF,76,03:05:00,Left-footed†shot,Xavi
114,Dec-13,LaLiga,9,10/27/12,A,FC†Barcelona,Rayo†Vallecano,Loss,CF,48,00:02:00,Left-footed†shot,Marta†Montoya
115,Dec-13,LaLiga,9,10/27/12,A,FC†Barcelona,Rayo†Vallecano,Loss,CF,89,00:05:00,Right-footed†shot,Cesc†Fabregas
116,Dec-13,UEFA†Champions†League,Group†Stage,11-07-2012,A,FC†Barcelona,Celtic†FC,Loss,CF,90+1,02:01:00,Tap-in,NA
117,Dec-13,LaLiga,11,11-11-2012,A,FC†Barcelona,RCD†Mallorca,Loss,CF,43,00:02:00,Left-footed†shot,Sergio†Busquets
118,Dec-13,LaLiga,11,11-11-2012,A,FC†Barcelona,RCD†Mallorca,Loss,CF,70,02:04:00,Left-footed†shot,Alexis†Sanchez
119,Dec-13,UEFA†Champions†League,Group†Stage,11/20/12,A,FC†Barcelona,Spartak†Moscow,Loss,CF,27,00:02:00,Right-footed†shot,NA
120,Dec-13,UEFA†Champions†League,Group†Stage,11/20/12,A,FC†Barcelona,Spartak†Moscow,Loss,CF,39,00:03:00,Left-footed†shot,Pedro
